sgRNA	Gene	T0_1	T0_2	Tend_1	Tend_2
0Safe_safe_GE_204550.1561__EZH2_4	0Safe_safe_GE__EZH2	75	98	139	185
0Safe_safe_GE_204550.1561__HSP90B1_1	0Safe_safe_GE__HSP90B1	177	170	201	253
0Safe_safe_GE_204550.1561__HSP90B1_2	0Safe_safe_GE__HSP90B1	154	144	193	215
0Safe_safe_GE_204550.1561__HSP90B1_3	0Safe_safe_GE__HSP90B1	75	72	108	128
0Safe_safe_GE_204550.1561__HSP90B1_4	0Safe_safe_GE__HSP90B1	40	41	60	96
0Safe_safe_GE_204550.1561__IGF1R_1	0Safe_safe_GE__IGF1R	125	126	155	214
0Safe_safe_GE_204550.1561__IGF1R_2	0Safe_safe_GE__IGF1R	113	139	202	275
0Safe_safe_GE_204550.1561__IGF1R_3	0Safe_safe_GE__IGF1R	326	328	379	533
0Safe_safe_GE_204550.1561__IGF1R_4	0Safe_safe_GE__IGF1R	46	42	56	64
0Safe_safe_GE_204550.1561__MAPK13_1	0Safe_safe_GE__MAPK13	363	379	581	685
0Safe_safe_GE_204550.1561__MAPK13_2	0Safe_safe_GE__MAPK13	117	110	163	168
0Safe_safe_GE_204550.1561__MAPK13_3	0Safe_safe_GE__MAPK13	189	199	388	426
0Safe_safe_GE_204550.1561__MAPK13_4	0Safe_safe_GE__MAPK13	86	91	132	190
0Safe_safe_GE_204550.1561__TRIB2_1	0Safe_safe_GE__TRIB2	100	111	181	215
0Safe_safe_GE_204550.1561__TRIB2_2	0Safe_safe_GE__TRIB2	82	68	124	140
0Safe_safe_GE_204550.1561__TRIB2_3	0Safe_safe_GE__TRIB2	166	173	307	397
0Safe_safe_GE_204550.1561__TRIB2_4	0Safe_safe_GE__TRIB2	106	113	196	244
0Safe_safe_GE_204550.1561__ULK1_1	0Safe_safe_GE__ULK1	68	70	107	105
0Safe_safe_GE_204550.1561__ULK1_2	0Safe_safe_GE__ULK1	105	108	144	191
0Safe_safe_GE_204550.1561__ULK1_3	0Safe_safe_GE__ULK1	65	71	89	114
0Safe_safe_GE_204550.1561__ULK1_4	0Safe_safe_GE__ULK1	157	142	269	269
0Safe_safe_GE_204550.1561__WNT5A_1	0Safe_safe_GE__WNT5A	169	185	247	299
0Safe_safe_GE_204550.1561__WNT5A_2	0Safe_safe_GE__WNT5A	153	158	265	324
0Safe_safe_GE_204550.1561__WNT5A_3	0Safe_safe_GE__WNT5A	111	100	144	246
0Safe_safe_GE_204550.1561__WNT5A_4	0Safe_safe_GE__WNT5A	127	120	181	273
0Safe_safe_GE_204550.1743__0Safe_safe_ACOC_204550.4522	0Safe_safe_ACOC__0Safe_safe_GE	27	21	44	58
0Safe_safe_GE_204550.1743__0Safe_safe_ACOC_204550.4525	0Safe_safe_ACOC__0Safe_safe_GE	50	63	91	107
0Safe_safe_GE_204550.1743__0Safe_safe_ACOC_204550.4590	0Safe_safe_ACOC__0Safe_safe_GE	91	81	148	184
0Safe_safe_GE_204550.1743__0Safe_safe_GE_204550.1561	0Safe_safe_GE__0Safe_safe_GE	32	37	57	82
0Safe_safe_GE_204550.1743__0Safe_safe_GE_204550.1743	0Safe_safe_GE__0Safe_safe_GE	39	28	73	88
0Safe_safe_GE_204550.1743__0Safe_safe_GE_204550.1816	0Safe_safe_GE__0Safe_safe_GE	23	26	39	68
0Safe_safe_GE_204550.1743__0Safe_safe_MP_204550.1197	0Safe_safe_GE__0Safe_safe_MP	35	26	63	69
0Safe_safe_GE_204550.1743__0Safe_safe_MP_204550.1296	0Safe_safe_GE__0Safe_safe_MP	21	17	21	33
0Safe_safe_GE_204550.1743__0Safe_safe_MP_204550.1323	0Safe_safe_GE__0Safe_safe_MP	49	56	134	121
0Safe_safe_GE_204550.1743__0Safe_safe_U3_204550.6027	0Safe_safe_GE__0Safe_safe_U3	11	14	18	31
0Safe_safe_GE_204550.1743__CDK2_1	0Safe_safe_GE__CDK2	75	83	84	92
0Safe_safe_GE_204550.1743__CDK2_2	0Safe_safe_GE__CDK2	57	63	82	78
0Safe_safe_GE_204550.1743__CDK2_3	0Safe_safe_GE__CDK2	65	51	66	95
0Safe_safe_GE_204550.1743__CDK2_4	0Safe_safe_GE__CDK2	107	104	151	202
0Safe_safe_GE_204550.1743__CTNNB1_1	0Safe_safe_GE__CTNNB1	23	39	86	70
0Safe_safe_GE_204550.1743__CTNNB1_2	0Safe_safe_GE__CTNNB1	28	43	61	74
0Safe_safe_GE_204550.1743__CTNNB1_3	0Safe_safe_GE__CTNNB1	48	43	68	77
0Safe_safe_GE_204550.1743__CTNNB1_4	0Safe_safe_GE__CTNNB1	52	57	123	131
0Safe_safe_GE_204550.1743__ETF1_1	0Safe_safe_GE__ETF1	60	40	31	32
